Data,# Samples,# Dimensions,Outlier Perc,CB-GAN
shuttle,39277,9,7.1518,0.9997
ionosphere,281,33,35.9431,0.9817
lympho,118,18,4.2373,1.0
letter,1280,32,6.25,0.8702
annthyroid,5760,6,7.4132,0.9912
pendigits,5496,16,2.2744,0.9998
cardio,1465,21,9.6246,0.9959
arrhythmia,361,274,14.6814,0.8619
satimage-2,4642,36,1.2279,0.9961
vowels,1165,12,3.4335,0.9922
pima,614,8,34.8534,0.8361
satellite,5148,36,31.6434,0.9588
optdigits,4173,64,2.8756,1.0
mnist,6082,100,9.2075,0.9949
musk,2449,166,3.1441,1.0
glass,171,9,4.0936,1.0
